item_id,title,artist_name,track_name,category,tags,description,genre
0,Track_0,Artist_0,Track_0,rock,tag_0,A great rock song.,
1,Track_1,Artist_1,Track_1,pop,tag_1,A great pop song.,
2,Track_2,Artist_2,Track_2,jazz,tag_2,A great jazz song.,
3,Track_3,Artist_3,Track_3,classical,tag_3,A great classical song.,
4,Track_4,Artist_4,Track_4,hiphop,tag_4,A great hiphop song.,
5,Track_5,Artist_5,Track_5,rock,tag_5,A great rock song.,
6,Track_6,Artist_6,Track_6,pop,tag_6,A great pop song.,
7,Track_7,Artist_7,Track_7,jazz,tag_7,A great jazz song.,
8,Track_8,Artist_8,Track_8,classical,tag_8,A great classical song.,
9,Track_9,Artist_9,Track_9,hiphop,tag_9,A great hiphop song.,
10,Track_10,Artist_10,Track_10,rock,tag_0,A great rock song.,
11,Track_11,Artist_11,Track_11,pop,tag_1,A great pop song.,
12,Track_12,Artist_12,Track_12,jazz,tag_2,A great jazz song.,
13,Track_13,Artist_13,Track_13,classical,tag_3,A great classical song.,
14,Track_14,Artist_14,Track_14,hiphop,tag_4,A great hiphop song.,
15,Track_15,Artist_15,Track_15,rock,tag_5,A great rock song.,
16,Track_16,Artist_16,Track_16,pop,tag_6,A great pop song.,
17,Track_17,Artist_17,Track_17,jazz,tag_7,A great jazz song.,
18,Track_18,Artist_18,Track_18,classical,tag_8,A great classical song.,
19,Track_19,Artist_19,Track_19,hiphop,tag_9,A great hiphop song.,
20,Track_20,Artist_0,Track_20,rock,tag_0,A great rock song.,
21,Track_21,Artist_1,Track_21,pop,tag_1,A great pop song.,
22,Track_22,Artist_2,Track_22,jazz,tag_2,A great jazz song.,
23,Track_23,Artist_3,Track_23,classical,tag_3,A great classical song.,
24,Track_24,Artist_4,Track_24,hiphop,tag_4,A great hiphop song.,
25,Track_25,Artist_5,Track_25,rock,tag_5,A great rock song.,
26,Track_26,Artist_6,Track_26,pop,tag_6,A great pop song.,
27,Track_27,Artist_7,Track_27,jazz,tag_7,A great jazz song.,
28,Track_28,Artist_8,Track_28,classical,tag_8,A great classical song.,
29,Track_29,Artist_9,Track_29,hiphop,tag_9,A great hiphop song.,
30,Track_30,Artist_10,Track_30,rock,tag_0,A great rock song.,
31,Track_31,Artist_11,Track_31,pop,tag_1,A great pop song.,
32,Track_32,Artist_12,Track_32,jazz,tag_2,A great jazz song.,
33,Track_33,Artist_13,Track_33,classical,tag_3,A great classical song.,
34,Track_34,Artist_14,Track_34,hiphop,tag_4,A great hiphop song.,
35,Track_35,Artist_15,Track_35,rock,tag_5,A great rock song.,
36,Track_36,Artist_16,Track_36,pop,tag_6,A great pop song.,
37,Track_37,Artist_17,Track_37,jazz,tag_7,A great jazz song.,
38,Track_38,Artist_18,Track_38,classical,tag_8,A great classical song.,
39,Track_39,Artist_19,Track_39,hiphop,tag_9,A great hiphop song.,
40,Track_40,Artist_0,Track_40,rock,tag_0,A great rock song.,
41,Track_41,Artist_1,Track_41,pop,tag_1,A great pop song.,
42,Track_42,Artist_2,Track_42,jazz,tag_2,A great jazz song.,
43,Track_43,Artist_3,Track_43,classical,tag_3,A great classical song.,
44,Track_44,Artist_4,Track_44,hiphop,tag_4,A great hiphop song.,
45,Track_45,Artist_5,Track_45,rock,tag_5,A great rock song.,
46,Track_46,Artist_6,Track_46,pop,tag_6,A great pop song.,
47,Track_47,Artist_7,Track_47,jazz,tag_7,A great jazz song.,
