item_id,title,artist_name,track_name,category,tags,description,genre
34,item_34,,item_34,,161 21 406 265 55,item 34 features: 161 21 406 265 55,
46,item_46,,item_46,,2 55,item 46 features: 2 55,
53,item_53,,item_53,,2 51 16 44 5,item 53 features: 2 51 16 44 5,
76,item_76,,item_76,,69 22 2 4 34 37 5 31,item 76 features: 69 22 2 4 34 37 5 31,
95,item_95,,item_95,,57,item 95 features: 57,
100,item_100,,item_100,,22 2 50 5 55,item 100 features: 22 2 50 5 55,
105,item_105,,item_105,,2 50 44,item 105 features: 2 50 44,
153,item_153,,item_153,,46 32 2 55 253 97 265 31 30 10 124,item 153 features: 46 32 2 55 253 97 265 31 30 10 124,
189,item_189,,item_189,,77 528 2 51 4 37 44 5 55 102,item 189 features: 77 528 2 51 4 37 44 5 55 102,
192,item_192,,item_192,,236 38 34 20 10 2 4 162 173 103 14 31 49 117 16 110,item 192 features: 236 38 34 20 10 2 4 162 173 103 14 31 49 117 16 110,
209,item_209,,item_209,,58 53 51 2 4 5 28 55 120,item 209 features: 58 53 51 2 4 5 28 55 120,
218,item_218,,item_218,,43 161 51 76 2 5 769 55 194,item 218 features: 43 161 51 76 2 5 769 55 194,
221,item_221,,item_221,,10,item 221 features: 10,
231,item_231,,item_231,,2 667 76 5 16 31,item 231 features: 2 667 76 5 16 31,
241,item_241,,item_241,,38 416 2 25 4 861 5 55,item 241 features: 38 416 2 25 4 861 5 55,
252,item_252,,item_252,,65 524 119 32 6 97 37 62,item 252 features: 65 524 119 32 6 97 37 62,
266,item_266,,item_266,,51 55,item 266 features: 51 55,
271,item_271,,item_271,,406 2 34 4 527 14 84 31 10,item 271 features: 406 2 34 4 527 14 84 31 10,
279,item_279,,item_279,,123 235 4,item 279 features: 123 235 4,
293,item_293,,item_293,,49 2 34 173 103 55 23,item 293 features: 49 2 34 173 103 55 23,
299,item_299,,item_299,,15 22 2 51 5 55 128,item 299 features: 15 22 2 51 5 55 128,
337,item_337,,item_337,,119 646 59 37 300 185 198 65 29 121 32 151 385,item 337 features: 119 646 59 37 300 185 198 65 29 121 32 151 385,
380,item_380,,item_380,,983 2 50 270 55,item 380 features: 983 2 50 270 55,
417,item_417,,item_417,,228 326 37 629 213 198 590 782 4 29 400 6 750 64 32 338 472 124,item 417 features: 228 326 37 629 213 198 590 782 4 29 400 6 750 64 32 338 472 124,
430,item_430,,item_430,,21 919 2 193 34 31 173 103 121 37 889 142,item 430 features: 21 919 2 193 34 31 173 103 121 37 889 142,
431,item_431,,item_431,,265 2 44,item 431 features: 265 2 44,
446,item_446,,item_446,,15 51 2 4 31 5 55,item 446 features: 15 51 2 4 31 5 55,
497,item_497,,item_497,,4,item 497 features: 4,
526,item_526,,item_526,,2 4 16 5 55,item 526 features: 2 4 16 5 55,
529,item_529,,item_529,,46 193 34 4 37 31 0,item 529 features: 46 193 34 4 37 31 0,
533,item_533,,item_533,,58 15 1 51 2 34 4 167 31 5 28 55 382,item 533 features: 58 15 1 51 2 34 4 167 31 5 28 55 382,
551,item_551,,item_551,,161 2 55,item 551 features: 161 2 55,
568,item_568,,item_568,,21 49 2 56 34 173 103 55 23,item 568 features: 21 49 2 56 34 173 103 55 23,
577,item_577,,item_577,,69 15 22 2 51 4 39 76 5 28 86 31 0,item 577 features: 69 15 22 2 51 4 39 76 5 28 86 31 0,
580,item_580,,item_580,,21 44,item 580 features: 21 44,
588,item_588,,item_588,,57 4 37,item 588 features: 57 4 37,
593,item_593,,item_593,,161 25 103 55 23,item 593 features: 161 25 103 55 23,
595,item_595,,item_595,,186 2,item 595 features: 186 2,
615,item_615,,item_615,,168 32 170 618 2 4 25 14 5 16 31,item 615 features: 168 32 170 618 2 4 25 14 5 16 31,
622,item_622,,item_622,,69 22 4 25 162 610 967,item 622 features: 69 22 4 25 162 610 967,
636,item_636,,item_636,,793 4,item 636 features: 793 4,
642,item_642,,item_642,,217 2 51 44 128,item 642 features: 217 2 51 44 128,
643,item_643,,item_643,,69 46 1 382 2 51 4 25 14 5 55,item 643 features: 69 46 1 382 2 51 4 25 14 5 55,
647,item_647,,item_647,,58 39 25 28 44 55 537 22 2 4 5 51 474 534 194 16,item 647 features: 58 39 25 28 44 55 537 22 2 4 5 51 474 534 194 16,
652,item_652,,item_652,,10 15 51 2 34 4 55 44 31,item 652 features: 10 15 51 2 34 4 55 44 31,
653,item_653,,item_653,,69 738 2 51 4 14 20 16 31,item 653 features: 69 738 2 51 4 14 20 16 31,
660,item_660,,item_660,,32 96 2 25 432 124,item 660 features: 32 96 2 25 432 124,
684,item_684,,item_684,,125 25 10 33 2 4 345 5 184 492 864 14 31 468 618 16,item 684 features: 125 25 10 33 2 4 345 5 184 492 864 14 31 468 618 16,
696,item_696,,item_696,,51 55,item 696 features: 51 55,
717,item_717,,item_717,,69 324 22 2 50 4 76 234 85 55 120,item 717 features: 69 324 22 2 50 4 76 234 85 55 120,
735,item_735,,item_735,,96 49 2 31 37 110 322 55,item 735 features: 96 49 2 31 37 110 322 55,
758,item_758,,item_758,,161 15 2 51 34 20 5 55 10,item 758 features: 161 15 2 51 34 20 5 55 10,
773,item_773,,item_773,,76 44 55 69 782 22 2 4 111 120 51 16 176,item 773 features: 76 44 55 69 782 22 2 4 111 120 51 16 176,
781,item_781,,item_781,,161 21 2 16 103 55 23,item 781 features: 161 21 2 16 103 55 23,
789,item_789,,item_789,,76 55 69 22 2 4 5 168 305 809 50 234 0,item 789 features: 76 55 69 22 2 4 5 168 305 809 50 234 0,
807,item_807,,item_807,,10 49 618 2 25 4 34 5 55,item 807 features: 10 49 618 2 25 4 34 5 55,
819,item_819,,item_819,,896 10 416 2 25 4 34 16 5 55 120,item 819 features: 896 10 416 2 25 4 34 16 5 55 120,
822,item_822,,item_822,,64 34 44,item 822 features: 64 34 44,
823,item_823,,item_823,,77 2 4 37 44 5 102,item 823 features: 77 2 4 37 44 5 102,
826,item_826,,item_826,,21 2 55,item 826 features: 21 2 55,
846,item_846,,item_846,,34 44 10 65 21 2 173 103 23 97 32 49 56,item 846 features: 34 44 10 65 21 2 173 103 23 97 32 49 56,
885,item_885,,item_885,,46 114 2 4 25 14 5 16 31,item 885 features: 46 114 2 4 25 14 5 16 31,
899,item_899,,item_899,,59 947 55 21 2 103 743 29 121 161 88 165,item 899 features: 59 947 55 21 2 103 743 29 121 161 88 165,
909,item_909,,item_909,,69 593 22 4 20,item 909 features: 69 593 22 4 20,
976,item_976,,item_976,,69 10 168 22 2 34 113 4 987 5 31 0 120,item 976 features: 69 10 168 22 2 34 113 4 987 5 31 0 120,
977,item_977,,item_977,,21 56 31,item 977 features: 21 56 31,
1044,item_1044,,item_1044,,2 5 28 31,item 1044 features: 2 5 28 31,
1056,item_1056,,item_1056,,45 4 25 5 31,item 1056 features: 45 4 25 5 31,
1074,item_1074,,item_1074,,516 242 51 561 4 2 5 176 31 120 194,item 1074 features: 516 242 51 561 4 2 5 176 31 120 194,
1076,item_1076,,item_1076,,46 386 34 37 10 447 21 2 188 173 103 6 31 750 49 193 373 472,item 1076 features: 46 386 34 37 10 447 21 2 188 173 103 6 31 750 49 193 373 472,
1098,item_1098,,item_1098,,103 55 23,item 1098 features: 103 55 23,
1109,item_1109,,item_1109,,192 332 462 21 2 34 44,item 1109 features: 192 332 462 21 2 34 44,
1133,item_1133,,item_1133,,34 37 697 28 55 10 2 4 5 120 77 57 51 31,item 1133 features: 34 37 697 28 55 10 2 4 5 120 77 57 51 31,
1138,item_1138,,item_1138,,15 865 49 2 51 34 5 31,item 1138 features: 15 865 49 2 51 34 5 31,
1141,item_1141,,item_1141,,1 15 2 51 4 20 5 40 55 638 746,item 1141 features: 1 15 2 51 4 20 5 40 55 638 746,
1214,item_1214,,item_1214,,4 20 445,item 1214 features: 4 20 445,
1215,item_1215,,item_1215,,2 76 5 86 31,item 1215 features: 2 76 5 86 31,
1236,item_1236,,item_1236,,52 595 8,item 1236 features: 52 595 8,
1237,item_1237,,item_1237,,2 76 31,item 1237 features: 2 76 31,
1280,item_1280,,item_1280,,10 49 2 34 25 23 173 110 322 55 102 103,item 1280 features: 10 49 2 34 25 23 173 110 322 55 102 103,
1307,item_1307,,item_1307,,15 2 51 4 34 5 28 31 26,item 1307 features: 15 2 51 4 34 5 28 31 26,
1324,item_1324,,item_1324,,31,item 1324 features: 31,
1346,item_1346,,item_1346,,69 22 492 4 0,item 1346 features: 69 22 492 4 0,
1390,item_1390,,item_1390,,209 152 651 34 69 22 2 4 113 5 85 31 50 234,item 1390 features: 209 152 651 34 69 22 2 4 113 5 85 31 50 234,
1398,item_1398,,item_1398,,64 246 52 57 37 166 100 687 472,item 1398 features: 64 246 52 57 37 166 100 687 472,
1414,item_1414,,item_1414,,15 2 4 55 31 811,item 1414 features: 15 2 4 55 31 811,
1418,item_1418,,item_1418,,1 25 55 69 22 2 4 54 40 5 122 473 184 197 154 413 156,item 1418 features: 1 25 55 69 22 2 4 54 40 5 122 473 184 197 154 413 156,
1420,item_1420,,item_1420,,69 22 2 4 20 765 5 31 102,item 1420 features: 69 22 2 4 20 765 5 31 102,
1433,item_1433,,item_1433,,58 399 776 94 25 335 10 272 96 33 2 4 5 650 14 67 31 32 439 618 16,item 1433 features: 58 399 776 94 25 335 10 272 96 33 2 4 5 650 14 67 31 32 439 618 16,
1435,item_1435,,item_1435,,51 55,item 1435 features: 51 55,
1447,item_1447,,item_1447,,46 25 2 4 345 5 122 473 237 197 14 31 16 156,item 1447 features: 46 25 2 4 345 5 122 473 237 197 14 31 16 156,
1467,item_1467,,item_1467,,517 34 55 15 2 173 103 937 5 23 51 31 161 49 13,item 1467 features: 517 34 55 15 2 173 103 937 5 23 51 31 161 49 13,
1510,item_1510,,item_1510,,5 55,item 1510 features: 5 55,
