item_id,title,artist_name,track_name,category,tags,description,genre
1,item_1,,item_1,,74 77 80 139 706,item 1 features: 74 77 80 139 706,
3,item_3,,item_3,,96 97 133 163 199 258 260 310 507 519 520 521 606 651 1124 5607 5703 5788,item 3 features: 96 97 133 163 199 258 260 310 507 519 520 521 606 651 1124 5607 5703 5788,
5,item_5,,item_5,,69 75 77 80 148 325 327 1793 2258 5786,item 5 features: 69 75 77 80 148 325 327 1793 2258 5786,
6,item_6,,item_6,,57 68 69 74 75 973 974,item 6 features: 57 68 69 74 75 973 974,
7,item_7,,item_7,,69 112 358,item 7 features: 69 112 358,
8,item_8,,item_8,,69 74 75 101 143 145 690 1165,item 8 features: 69 74 75 101 143 145 690 1165,
9,item_9,,item_9,,14 22 23 24 69 75 77 79 147 154 158 189 260 291 367 407 421 1492 2554 3153 3647,item 9 features: 14 22 23 24 69 75 77 79 147 154 158 189 260 291 367 407 421 1492 2554 3153 3647,
11,item_11,,item_11,,1 68 69 74 140 147 155 176 191 192 321 354 395 710 1495 1854 1991 2188 2287 2563 3277 3353 3489 3820 4098 4913 5326 5432 5583 5605 5714 5715 5716 5717 5718 5719 5720 5721 5722 5723 5724 5725 5726 5727 5728 5729 5730 5731 5732 5733 5734 5735 5736 5737,item 11 features: 1 68 69 74 140 147 155 176 191 192 321 354 395 710 1495 1854 1991 2188 2287 2563 3277 3353 3489 3820 4098 4913 5326 5432 5583 5605 5714 5715 5716 5717 5718 5719 5720 5721 5722 5723 5724 5725 5726 5727 5728 5729 5730 5731 5732 5733 5734 5735 5736 5737,
12,item_12,,item_12,,11 67 88 96 97 107 173 191 242 244 258 422 441 507 581 592 693 964 1302 1424 1705 1885 2423 2586 2587 2588 2591 2592 2594 2606 2608 3841 3843 3847 3849 3851 3853 3859 3867 3868 3870 4994 5840 7013 7016 7017 8264,item 12 features: 11 67 88 96 97 107 173 191 242 244 258 422 441 507 581 592 693 964 1302 1424 1705 1885 2423 2586 2587 2588 2591 2592 2594 2606 2608 3841 3843 3847 3849 3851 3853 3859 3867 3868 3870 4994 5840 7013 7016 7017 8264,
13,item_13,,item_13,,112 133 179 194 507 520 580 693 2315 2323 2326 2327 2328 5788,item 13 features: 112 133 179 194 507 520 580 693 2315 2323 2326 2327 2328 5788,
14,item_14,,item_14,,46 115 242 421 507 1312 2319 2322 2586,item 14 features: 46 115 242 421 507 1312 2319 2322 2586,
15,item_15,,item_15,,23 96 97 106 258 291 309 422 441 1424 1705 2367 2587 2588 2591 2594 2599 2600 2601 7014 7822 7997,item 15 features: 23 96 97 106 258 291 309 422 441 1424 1705 2367 2587 2588 2591 2594 2599 2600 2601 7014 7822 7997,
16,item_16,,item_16,,11 18 88 96 97 160 191 258 291 309 422 581 1060 1302 1424 1885 2032 2423 2584 2586 2587 2588 2589 2591 2592 2597 2598 2600 2608 2919 3518 4367 7013 7014 7757 7822 8001,item 16 features: 11 18 88 96 97 160 191 258 291 309 422 581 1060 1302 1424 1885 2032 2423 2584 2586 2587 2588 2589 2591 2592 2597 2598 2600 2608 2919 3518 4367 7013 7014 7757 7822 8001,
17,item_17,,item_17,,16 22 36 46 69 96 112 115 133 156 173 179 194 199 247 262 291 310 377 421 507 519 520 568 580 585 651 691 835 853 1109 1312 2055 2315 2316 2317 2318 2319 2320 2321 2322 2323 2324 2325 2326 2327 2328 2453 3494 3888 3889 3890 3891 4121 4122 5544,item 17 features: 16 22 36 46 69 96 112 115 133 156 173 179 194 199 247 262 291 310 377 421 507 519 520 568 580 585 651 691 835 853 1109 1312 2055 2315 2316 2317 2318 2319 2320 2321 2322 2323 2324 2325 2326 2327 2328 2453 3494 3888 3889 3890 3891 4121 4122 5544,
23,item_23,,item_23,,16 22 70 75 77 115 158 162 260,item 23 features: 16 22 70 75 77 115 158 162 260,
27,item_27,,item_27,,22 69 208 574 867 1044 4458 5689,item 27 features: 22 69 208 574 867 1044 4458 5689,
28,item_28,,item_28,,14 23 235 260 327 4507,item 28 features: 14 23 235 260 327 4507,
30,item_30,,item_30,,14 23 110 147 154 405 602 738 740 752 2554 2766 6320,item 30 features: 14 23 110 147 154 405 602 738 740 752 2554 2766 6320,
32,item_32,,item_32,,14 23 70 158 329 733 734 738 741 8146,item 32 features: 14 23 70 158 329 733 734 738 741 8146,
