item_id,title,artist_name,track_name,category,tags,description,genre
65,item_65,,item_65,,88 6 13 133 38 7 301 327 53 328 299 28 223 42 48 308 345 8 794 343 858 330,item 65 features: 88 6 13 133 38 7 301 327 53 328 299 28 223 42 48 308 345 8 794 343 858 330,
276,item_276,,item_276,,88 237 13 11 4 7 38 223 264 1224 48 30 27 8 345,item 276 features: 88 237 13 11 4 7 38 223 264 1224 48 30 27 8 345,
941,item_941,,item_941,,730 552 413 300 117 714 13 1102 11 118 38 6 624 4 639 561 975 793 271 1169 48 30 272 345 42 155 27,item 941 features: 730 552 413 300 117 714 13 1102 11 118 38 6 624 4 639 561 975 793 271 1169 48 30 272 345 42 155 27,
1334,item_1334,,item_1334,,11 741 37 739 4 59 13 760 32 842 54 23 312 30 1403 105 1264 27 167 168 48 1422 35 143 93 829,item 1334 features: 11 741 37 739 4 59 13 760 32 842 54 23 312 30 1403 105 1264 27 167 168 48 1422 35 143 93 829,
1776,item_1776,,item_1776,,126 385 379 613 77 66 38 29 671 177 4 754 652 186 368 921 594 196 176 345 98 422 27 1029,item 1776 features: 126 385 379 613 77 66 38 29 671 177 4 754 652 186 368 921 594 196 176 345 98 422 27 1029,
4211,item_4211,,item_4211,,392 724 11 38 13 4 300 897 1381 1229 30 345 48 886 27 793,item 4211 features: 392 724 11 38 13 4 300 897 1381 1229 30 345 48 886 27 793,
5105,item_5105,,item_5105,,49 38 21 32 545 1112 894 53 385 37 11 4 27 130 345 75 35 28 368 105 30 97,item 5105 features: 49 38 21 32 545 1112 894 53 385 37 11 4 27 130 345 75 35 28 368 105 30 97,
5121,item_5121,,item_5121,,28 7 1138 4 39 44 613 22 51 780 697 8 1471 27 1296 10 126 594 71 133 221 218,item 5121 features: 28 7 1138 4 39 44 613 22 51 780 697 8 1471 27 1296 10 126 594 71 133 221 218,
5475,item_5475,,item_5475,,541 38 360 65 11 37 32 4 151 1235 1277 1276 345 909 165 30 105 35 27 76,item 5475 features: 541 38 360 65 11 37 32 4 151 1235 1277 1276 345 909 165 30 105 35 27 76,
5717,item_5717,,item_5717,,594 634 7 925 926 368 803 210 8 1410 1212 212 1080,item 5717 features: 594 634 7 925 926 368 803 210 8 1410 1212 212 1080,
6544,item_6544,,item_6544,,11 4 7 32 44 940 318 1058 30 27 8 879 1376 35 126 315 1399 319,item 6544 features: 11 4 7 32 44 940 318 1058 30 27 8 879 1376 35 126 315 1399 319,
6862,item_6862,,item_6862,,39 13 126 163 30 7 611 1133 134 273 4 102 637 10 48 186 390 99 917 8 1021 1265 1 687 1201 27 233 154,item 6862 features: 39 13 126 163 30 7 611 1133 134 273 4 102 637 10 48 186 390 99 917 8 1021 1265 1 687 1201 27 233 154,
7963,item_7963,,item_7963,,633 4 7 11 831 438 13 611 1315 936 27 8 30 1458 1007 48 1265,item 7963 features: 633 4 7 11 831 438 13 611 1315 936 27 8 30 1458 1007 48 1265,
8037,item_8037,,item_8037,,29 231 11 361 85 32 337 4 354 13 91 7 21 22 98 435 30 79 35 864 27 48 80 8 75 71,item 8037 features: 29 231 11 361 85 32 337 4 354 13 91 7 21 22 98 435 30 79 35 864 27 48 80 8 75 71,
8173,item_8173,,item_8173,,7 11 5 10 13 4 12 341 964 592 8 30 41 45 48 27 47 546,item 8173 features: 7 11 5 10 13 4 12 341 964 592 8 30 41 45 48 27 47 546,
9016,item_9016,,item_9016,,11 38 13 83 4 572 30 345 48 82 27 351,item 9016 features: 11 38 13 83 4 572 30 345 48 82 27 351,
10785,item_10785,,item_10785,,37 151 202 656 659 164 11 92 87 715 1072 17 38 4 105 76 19 12 30 226 222 1077 1201 33 345 27,item 10785 features: 37 151 202 656 659 164 11 92 87 715 1072 17 38 4 105 76 19 12 30 226 222 1077 1201 33 345 27,
11009,item_11009,,item_11009,,4 326 7 803 55 703 169 13 11 634 27 773 8 1319 1368 145 1361 404 48 30 210,item 11009 features: 4 326 7 803 55 703 169 13 11 634 27 773 8 1319 1368 145 1361 404 48 30 210,
