item_id,title,artist_name,track_name,category,tags,description
0,item_0,,item_0,,51 2 34 294 28 5 31 10,item 0 features: 51 2 34 294 28 5 31 10
1,item_1,,item_1,,369 22 234 4 85,item 1 features: 369 22 234 4 85
2,item_2,,item_2,,288 24 34 37 0,item 2 features: 288 24 34 37 0
3,item_3,,item_3,,2 31,item 3 features: 2 31
4,item_4,,item_4,,51 55 31,item 4 features: 51 55 31
5,item_5,,item_5,,31,item 5 features: 31
6,item_6,,item_6,,10 812 2 50 4 84 31 0,item 6 features: 10 812 2 50 4 84 31 0
7,item_7,,item_7,,21 31,item 7 features: 21 31
8,item_8,,item_8,,69 1 22 51 242 76 4 2 5 44 55,item 8 features: 69 1 22 51 242 76 4 2 5 44 55
9,item_9,,item_9,,2 55,item 9 features: 2 55
10,item_10,,item_10,,51 57 2 31 5 55,item 10 features: 51 57 2 31 5 55
11,item_11,,item_11,,15 51 461 31,item 11 features: 15 51 461 31
12,item_12,,item_12,,2 34 16 31 5,item 12 features: 2 34 16 31 5
13,item_13,,item_13,,289 954 732 22 2 113 55,item 13 features: 289 954 732 22 2 113 55
14,item_14,,item_14,,21 44,item 14 features: 21 44
15,item_15,,item_15,,69 33 22 2 483 3 177 4 5 120 546 85 31 50 16,item 15 features: 69 33 22 2 483 3 177 4 5 120 546 85 31 50 16
16,item_16,,item_16,,611 4 20,item 16 features: 611 4 20
17,item_17,,item_17,,51 4 28 55,item 17 features: 51 4 28 55
18,item_18,,item_18,,4,item 18 features: 4
19,item_19,,item_19,,4 20,item 19 features: 4 20
20,item_20,,item_20,,567 51 2 34 5 28 31,item 20 features: 567 51 2 34 5 28 31
21,item_21,,item_21,,178 2 56 31 661,item 21 features: 178 2 56 31 661
22,item_22,,item_22,,554 2 31,item 22 features: 554 2 31
23,item_23,,item_23,,4,item 23 features: 4
24,item_24,,item_24,,914,item 24 features: 914
25,item_25,,item_25,,31,item 25 features: 31
26,item_26,,item_26,,37 65 447 21 188 309 424 6 31 750 32 193 373 472,item 26 features: 37 65 447 21 188 309 424 6 31 750 32 193 373 472
27,item_27,,item_27,,69 229 22 34 4 234 601 60 10,item 27 features: 69 229 22 34 4 234 601 60 10
28,item_28,,item_28,,15 53 2 933 44,item 28 features: 15 53 2 933 44
29,item_29,,item_29,,161 103 55 23,item 29 features: 161 103 55 23
30,item_30,,item_30,,304 17 264 535,item 30 features: 304 17 264 535
31,item_31,,item_31,,481 689 64 21 225 2 56 4 55 7,item 31 features: 481 689 64 21 225 2 56 4 55 7
32,item_32,,item_32,,351 432,item 32 features: 351 432
33,item_33,,item_33,,550 500 2 25 39 334 275 71 72 5 55,item 33 features: 550 500 2 25 39 334 275 71 72 5 55
34,item_34,,item_34,,161 21 406 265 55,item 34 features: 161 21 406 265 55
35,item_35,,item_35,,78,item 35 features: 78
36,item_36,,item_36,,51 44,item 36 features: 51 44
37,item_37,,item_37,,55,item 37 features: 55
38,item_38,,item_38,,103 55 23,item 38 features: 103 55 23
39,item_39,,item_39,,32 504 4 5 60 120,item 39 features: 32 504 4 5 60 120
40,item_40,,item_40,,58 32 399 8 650 4 498,item 40 features: 58 32 399 8 650 4 498
41,item_41,,item_41,,502 51 34 4 28 634 31,item 41 features: 502 51 34 4 28 634 31
42,item_42,,item_42,,52 51 4 14 166 5 31,item 42 features: 52 51 4 14 166 5 31
43,item_43,,item_43,,406 2 55,item 43 features: 406 2 55
44,item_44,,item_44,,32 64 6 208 754 0 124,item 44 features: 32 64 6 208 754 0 124
45,item_45,,item_45,,784,item 45 features: 784
46,item_46,,item_46,,2 55,item 46 features: 2 55
47,item_47,,item_47,,10 49 2 34 864 173 103 31,item 47 features: 10 49 2 34 864 173 103 31
48,item_48,,item_48,,24 689,item 48 features: 24 689
49,item_49,,item_49,,25 5 91,item 49 features: 25 5 91
50,item_50,,item_50,,58 416 2 34 4 253 14 16 44 5 10,item 50 features: 58 416 2 34 4 253 14 16 44 5 10
51,item_51,,item_51,,4 20 14,item 51 features: 4 20 14
52,item_52,,item_52,,58 2 34 31,item 52 features: 58 2 34 31
53,item_53,,item_53,,2 51 16 44 5,item 53 features: 2 51 16 44 5
54,item_54,,item_54,,21 406 44,item 54 features: 21 406 44
55,item_55,,item_55,,49 2 34 173 103 31,item 55 features: 49 2 34 173 103 31
56,item_56,,item_56,,186,item 56 features: 186
57,item_57,,item_57,,51 299 55,item 57 features: 51 299 55
58,item_58,,item_58,,51 55,item 58 features: 51 55
59,item_59,,item_59,,881,item 59 features: 881
60,item_60,,item_60,,15 1 217 4 20 9 638,item 60 features: 15 1 217 4 20 9 638
61,item_61,,item_61,,565,item 61 features: 565
62,item_62,,item_62,,150,item 62 features: 150
63,item_63,,item_63,,10 32 96 505 351 966 34 495 975 432 31 163,item 63 features: 10 32 96 505 351 966 34 495 975 432 31 163
64,item_64,,item_64,,51 55,item 64 features: 51 55
65,item_65,,item_65,,58 229 10 49 2 34 173 103 55 23,item 65 features: 58 229 10 49 2 34 173 103 55 23
66,item_66,,item_66,,776,item 66 features: 776
67,item_67,,item_67,,2 5 31,item 67 features: 2 5 31
68,item_68,,item_68,,11,item 68 features: 11
69,item_69,,item_69,,51 55,item 69 features: 51 55
70,item_70,,item_70,,2 167 393 44,item 70 features: 2 167 393 44
71,item_71,,item_71,,12 2 16 55,item 71 features: 12 2 16 55
72,item_72,,item_72,,55,item 72 features: 55
73,item_73,,item_73,,587 4 92 20,item 73 features: 587 4 92 20
74,item_74,,item_74,,2 44 337,item 74 features: 2 44 337
75,item_75,,item_75,,51 2 55 16 5 31,item 75 features: 51 2 55 16 5 31
76,item_76,,item_76,,69 22 2 4 34 37 5 31,item 76 features: 69 22 2 4 34 37 5 31
77,item_77,,item_77,,32 2 649 34 4 849 37 173 103 31 10 23,item 77 features: 32 2 649 34 4 849 37 173 103 31 10 23
78,item_78,,item_78,,90,item 78 features: 90
79,item_79,,item_79,,2 50,item 79 features: 2 50
80,item_80,,item_80,,125 178 25 28 60 15 2 4 5 51 709 31 403 16,item 80 features: 125 178 25 28 60 15 2 4 5 51 709 31 403 16
81,item_81,,item_81,,125 421 33 2 57 4 37 16 5 31 102,item 81 features: 125 421 33 2 57 4 37 16 5 31 102
82,item_82,,item_82,,205 13 343,item 82 features: 205 13 343
83,item_83,,item_83,,58 125 34 44 55 10 15 2 177 5 51 546 7 49,item 83 features: 58 125 34 44 55 10 15 2 177 5 51 546 7 49
84,item_84,,item_84,,306 4 14 20,item 84 features: 306 4 14 20
85,item_85,,item_85,,53 2 34 4 173 103 55 23,item 85 features: 53 2 34 4 173 103 55 23
86,item_86,,item_86,,5,item 86 features: 5
87,item_87,,item_87,,15 51 6 4 28 44 120,item 87 features: 15 51 6 4 28 44 120
88,item_88,,item_88,,2 55,item 88 features: 2 55
89,item_89,,item_89,,69 303 4 20 0,item 89 features: 69 303 4 20 0
90,item_90,,item_90,,15 452 49 2 51 4 31 5 55 26,item 90 features: 15 452 49 2 51 4 31 5 55 26
91,item_91,,item_91,,58 44,item 91 features: 58 44
92,item_92,,item_92,,798,item 92 features: 798
93,item_93,,item_93,,15 49 696 51 2 34 16 44 103 5 10 23,item 93 features: 15 49 696 51 2 34 16 44 103 5 10 23
94,item_94,,item_94,,161 103 55 23,item 94 features: 161 103 55 23
95,item_95,,item_95,,57,item 95 features: 57
96,item_96,,item_96,,15 1 217 51 4 704 913 327 44 128,item 96 features: 15 1 217 51 4 704 913 327 44 128
97,item_97,,item_97,,24 46 219 4 76 27 31,item 97 features: 24 46 219 4 76 27 31
98,item_98,,item_98,,58 52 635 4 14 5 866,item 98 features: 58 52 635 4 14 5 866
99,item_99,,item_99,,160 312 304 17 91,item 99 features: 160 312 304 17 91
100,item_100,,item_100,,22 2 50 5 55,item 100 features: 22 2 50 5 55
101,item_101,,item_101,,29 2 31,item 101 features: 29 2 31
102,item_102,,item_102,,21 18 44,item 102 features: 21 18 44
103,item_103,,item_103,,219 2 16 5 55 10,item 103 features: 219 2 16 5 55 10
104,item_104,,item_104,,58 126 19 25 166 344 53 2 4 5 31 87 199,item 104 features: 58 126 19 25 166 344 53 2 4 5 31 87 199
105,item_105,,item_105,,2 50 44,item 105 features: 2 50 44
106,item_106,,item_106,,150 35,item 106 features: 150 35
107,item_107,,item_107,,4 20,item 107 features: 4 20
108,item_108,,item_108,,125 797 527 37 31 120,item 108 features: 125 797 527 37 31 120
109,item_109,,item_109,,58 567 51 2 4 39 16 397 28 31 5 120,item 109 features: 58 567 51 2 4 39 16 397 28 31 5 120
110,item_110,,item_110,,672,item 110 features: 672
111,item_111,,item_111,,447 21 44,item 111 features: 447 21 44
112,item_112,,item_112,,77 49 22 2 34 76 14 4 5 55,item 112 features: 77 49 22 2 34 76 14 4 5 55
113,item_113,,item_113,,2 31,item 113 features: 2 31
114,item_114,,item_114,,15 51 4 20 44,item 114 features: 15 51 4 20 44
115,item_115,,item_115,,15 49 2 377 130 55,item 115 features: 15 49 2 377 130 55
116,item_116,,item_116,,46 4 20 547 120,item 116 features: 46 4 20 547 120
117,item_117,,item_117,,103 55 23,item 117 features: 103 55 23
118,item_118,,item_118,,37 185 198 654 501 65 21 29 62 31 149 121 193 192,item 118 features: 37 185 198 654 501 65 21 29 62 31 149 121 193 192
119,item_119,,item_119,,288 24 10 168 64 929 2 34 4 55 0 124,item 119 features: 288 24 10 168 64 929 2 34 4 55 0 124
120,item_120,,item_120,,58 125 46 585 69 52 33 22 2 4 5 24 298 14 100 31 50 321,item 120 features: 58 125 46 585 69 52 33 22 2 4 5 24 298 14 100 31 50 321
121,item_121,,item_121,,332 71,item 121 features: 332 71
122,item_122,,item_122,,39 28 5,item 122 features: 39 28 5
123,item_123,,item_123,,2 51 34 55 16 44 28 31 5,item 123 features: 2 51 34 55 16 44 28 31 5
124,item_124,,item_124,,1 217 2 51 39 44 28 31 5,item 124 features: 1 217 2 51 39 44 28 31 5
125,item_125,,item_125,,39 5,item 125 features: 39 5
126,item_126,,item_126,,980 51 44,item 126 features: 980 51 44
127,item_127,,item_127,,51 55,item 127 features: 51 55
128,item_128,,item_128,,58 125 558 15 2 51 4 953 5 31 120 7,item 128 features: 58 125 558 15 2 51 4 953 5 31 120 7
129,item_129,,item_129,,453 122 154 197 413 327 40 603,item 129 features: 453 122 154 197 413 327 40 603
130,item_130,,item_130,,2 34 894 55,item 130 features: 2 34 894 55
131,item_131,,item_131,,87 2 749 31,item 131 features: 87 2 749 31
132,item_132,,item_132,,46 25 166 185 2 62 910 121 31 149 32 64 253 438 63,item 132 features: 46 25 166 185 2 62 910 121 31 149 32 64 253 438 63
133,item_133,,item_133,,10 51 34 31,item 133 features: 10 51 34 31
134,item_134,,item_134,,15 49 51 2 4 34 136 28 31 26,item 134 features: 15 49 51 2 4 34 136 28 31 26
135,item_135,,item_135,,58 2 34 349 55 10,item 135 features: 58 2 34 349 55 10
136,item_136,,item_136,,475 51 31,item 136 features: 475 51 31
137,item_137,,item_137,,2 55,item 137 features: 2 55
138,item_138,,item_138,,2 377 31,item 138 features: 2 377 31
139,item_139,,item_139,,4,item 139 features: 4
140,item_140,,item_140,,4 27 14 100 44,item 140 features: 4 27 14 100 44
141,item_141,,item_141,,10 21 31,item 141 features: 10 21 31
142,item_142,,item_142,,58 46 394 49 2 34 173 349 103 31 10,item 142 features: 58 46 394 49 2 34 173 349 103 31 10
143,item_143,,item_143,,125 46 34 28 55 10 567 2 4 103 5 23 31 49,item 143 features: 125 46 34 28 55 10 567 2 4 103 5 23 31 49
144,item_144,,item_144,,51 44,item 144 features: 51 44
145,item_145,,item_145,,955 4 54 473,item 145 features: 955 4 54 473
146,item_146,,item_146,,32 4 166 223,item 146 features: 32 4 166 223
147,item_147,,item_147,,51 55,item 147 features: 51 55
148,item_148,,item_148,,65 59 29 32 21 2 31 13 570 37 300 198 121,item 148 features: 65 59 29 32 21 2 31 13 570 37 300 198 121
149,item_149,,item_149,,749,item 149 features: 749
150,item_150,,item_150,,391,item 150 features: 391
151,item_151,,item_151,,69 22 4 411,item 151 features: 69 22 4 411
152,item_152,,item_152,,58 15 49 2 51 4 34 5 31 10,item 152 features: 58 15 49 2 51 4 34 5 31 10
153,item_153,,item_153,,46 32 2 55 253 97 265 31 30 10 124,item 153 features: 46 32 2 55 253 97 265 31 30 10 124
154,item_154,,item_154,,22 2 4 34 234 318 85 223 5 16 31 0,item 154 features: 22 2 4 34 234 318 85 223 5 16 31 0
155,item_155,,item_155,,2 16 31,item 155 features: 2 16 31
156,item_156,,item_156,,506 51 2 4 28 31,item 156 features: 506 51 2 4 28 31
157,item_157,,item_157,,2 55,item 157 features: 2 55
158,item_158,,item_158,,51 31,item 158 features: 51 31
159,item_159,,item_159,,51 2 5 31,item 159 features: 51 2 5 31
160,item_160,,item_160,,78,item 160 features: 78
161,item_161,,item_161,,2 4 31,item 161 features: 2 4 31
162,item_162,,item_162,,775 49 2 34 44 103 23,item 162 features: 775 49 2 34 44 103 23
163,item_163,,item_163,,21 31,item 163 features: 21 31
164,item_164,,item_164,,125 34 33 2 4 173 103 5 492 864 14 31 49 16,item 164 features: 125 34 33 2 4 173 103 5 492 864 14 31 49 16
165,item_165,,item_165,,34 4 20 31,item 165 features: 34 4 20 31
166,item_166,,item_166,,32 246 253 121,item 166 features: 32 246 253 121
167,item_167,,item_167,,858,item 167 features: 858
